SA-100-0.95,,,,RHC,,,,GA-200-100-20,,,,MIMIC-200-5,,
Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness
,,,,,,,,,,,,7450,109.4928415,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,7650,112.2597583,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,7850,115.3190078,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,8050,117.2189772,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,8250,118.420421,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,8450,123.9534898,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,8650,123.1954157,194
,,,,,,,,,,,,,,
,,,,,,,,,,,,8850,128.7959812,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,9050,123.8351427,194
,,,,,,,,,,,,,,
,,,,,,,,,,,,9250,134.598217,196
,,,,,,,,,,,,,,
,,,,,,,,,,,,9450,119.4027876,194
,,,,,,,,,,,,,,
,,,,,,,,,,,,9650,120.913731,198
,,,,,,,,,,,,,,
,,,,,,,,,,,,9850,124.892228,198
